gene,log2FoldChange,padj,baseMean
GENE065,0.9064,5.728e-01,14
GENE066,0.7606,9.705e-01,6013
GENE067,-0.0034,8.563e-01,32
GENE068,-0.2763,4.310e-01,15
GENE069,0.025,4.100e-01,9035
GENE070,-0.0668,4.823e-01,186
GENE071,0.6972,9.595e-01,9689
GENE072,-0.5981,1.971e-01,78
GENE073,-0.2186,9.703e-01,546
GENE074,-0.6409,1.043e-01,566
GENE075,-0.174,5.277e-01,3615
GENE076,0.5593,1.261e-01,36
GENE077,0.8506,6.153e-01,1061
GENE078,0.0188,8.958e-01,55
GENE079,0.2013,6.148e-01,721
GENE080,-0.4628,5.466e-01,6370
GENE081,0.2574,2.440e-01,1408
GENE082,0.0285,6.881e-01,79
GENE083,0.4005,3.504e-01,1801
GENE084,0.3977,9.985e-01,9734
GENE085,0.195,1.196e-01,44
GENE086,-0.0888,8.868e-01,4343
GENE087,0.9265,4.011e-01,30
GENE088,0.3133,6.311e-01,9156
GENE089,-0.5394,6.713e-01,11
GENE090,0.1381,6.802e-01,6558
GENE091,-0.3079,1.776e-01,22
GENE092,0.3972,3.087e-01,652
GENE093,0.3163,7.317e-01,41
GENE094,-0.2082,5.141e-01,5200
GENE095,-0.2339,8.538e-01,19
GENE096,-0.2855,5.337e-02,2058
GENE097,0.1487,6.553e-01,61
GENE098,-0.0279,4.563e-01,11
GENE099,-0.5059,1.215e-01,4460
GENE100,0.4136,8.429e-01,559
GENE101,-0.2852,1.907e-01,24
GENE102,-0.3066,8.063e-01,3820
GENE103,0.7998,9.040e-01,43
GENE104,0.0006,7.911e-01,4492
GENE105,0.1863,4.361e-01,728
GENE106,0.5205,8.714e-01,8484
GENE107,0.7613,8.202e-01,4408
GENE108,0.6454,3.656e-01,6201
GENE109,0.1013,8.121e-01,3910
GENE110,0.1174,7.980e-01,21
GENE111,-0.2925,8.786e-01,3765
GENE112,0.127,4.873e-01,82
GENE113,0.7257,8.056e-01,48
GENE114,0.2592,3.618e-01,3918
GENE115,0.0388,9.685e-01,69
GENE116,-0.2547,9.821e-01,406
GENE117,-0.3137,9.423e-01,22
GENE118,0.2466,9.644e-01,63
GENE119,-0.0464,1.530e-01,201
GENE120,-0.0466,6.259e-01,342
GENE121,-0.3439,4.159e-01,537
GENE122,-0.0186,5.161e-02,5980
GENE123,0.628,5.615e-01,1440
GENE124,-0.0301,3.960e-01,16
GENE125,-0.5954,6.810e-01,98
GENE126,-0.3035,7.338e-01,80
GENE127,0.7147,3.438e-01,168
GENE128,-0.2739,1.709e-01,183
GENE129,0.1927,9.433e-01,1076
GENE130,0.4531,3.359e-01,440
GENE131,-0.3171,5.039e-02,73
GENE132,-0.4766,6.720e-01,248
GENE133,0.2247,4.701e-01,44
GENE134,-0.8484,8.062e-01,32
GENE135,0.1443,1.306e-01,352
GENE136,-0.2425,8.275e-01,1792
GENE137,-0.268,6.892e-01,47
GENE138,0.028,2.826e-01,266
GENE139,0.0845,8.573e-01,17
GENE140,-0.4843,2.347e-01,1228
GENE141,0.2887,5.197e-01,54
GENE142,-0.0235,7.634e-01,2042
GENE143,-0.035,1.513e-01,189
GENE144,0.4522,5.421e-01,14
GENE145,0.8998,2.867e-01,3508
GENE146,-0.6925,6.842e-01,9198
GENE147,0.1943,6.157e-01,7081
GENE148,0.4276,7.333e-01,327
GENE149,-0.3473,8.390e-01,440
GENE150,0.5271,5.009e-01,60
GENE151,-0.3972,2.849e-01,818
GENE152,0.0482,6.454e-01,67
GENE153,-0.4831,1.236e-01,72
GENE154,-0.0478,5.631e-01,26
GENE155,0.3478,2.697e-01,1207
GENE156,-0.0394,4.372e-01,424
GENE157,-0.1403,4.450e-01,42
GENE158,-0.7606,6.049e-01,1221
GENE159,0.4173,8.639e-01,1981
GENE160,-0.0318,3.842e-01,1821
GENE161,0.0297,8.608e-01,7249
GENE162,-0.5796,5.688e-01,645
GENE163,0.3233,2.595e-01,46
GENE164,-0.0893,3.693e-01,1090
GENE165,0.0381,4.341e-01,31
GENE166,-0.2047,6.411e-01,12
GENE167,0.0425,4.243e-01,493
GENE168,0.5656,1.789e-01,243
GENE169,0.0973,9.777e-02,137
GENE170,0.0849,7.732e-01,137
GENE171,0.3456,7.644e-01,3132
GENE172,-0.0024,6.841e-02,415
GENE173,0.1653,9.999e-01,112
GENE174,-0.4094,6.692e-01,1831
GENE175,-0.5646,9.521e-01,40
GENE176,0.2281,1.699e-01,1019
GENE177,0.0294,5.858e-01,45
GENE178,-0.2131,2.094e-01,663
GENE179,-0.6485,7.605e-01,22
GENE180,0.4364,1.527e-01,12
GENE181,-0.938,3.464e-01,1077
GENE182,0.3883,7.293e-01,17
GENE183,-0.1045,7.061e-01,762
GENE184,0.552,8.578e-01,633
GENE185,0.4112,1.650e-01,8944
GENE186,0.0752,4.570e-01,129
GENE187,-0.3617,5.307e-01,106
GENE188,0.4355,1.503e-01,7627
GENE189,-0.6027,6.538e-01,3063
GENE190,-0.1134,7.471e-01,7878
GENE191,-0.4125,3.066e-01,2658
GENE192,-0.4466,4.638e-01,1560
GENE193,-0.1092,3.050e-01,3590
GENE194,0.0827,8.875e-01,54
GENE195,-0.1489,4.915e-01,678
GENE196,-0.0699,8.584e-01,35
GENE197,0.0665,2.515e-01,2475
GENE198,-0.4431,7.161e-01,67
GENE199,0.695,5.964e-02,6985
GENE200,0.5482,5.141e-01,1881
GENE201,0.327,7.061e-01,866
GENE202,-0.7087,1.384e-01,46
GENE203,0.0409,7.072e-01,83
GENE204,-0.3947,5.544e-01,189
GENE205,-0.2221,7.586e-01,98
GENE206,-0.0928,2.888e-01,23
GENE207,-0.3041,2.330e-01,23
GENE208,-0.6608,2.259e-01,45
GENE209,-0.1515,5.100e-01,1492
GENE210,0.4826,3.188e-01,20
GENE211,-0.0714,2.344e-01,48
GENE212,0.029,5.574e-01,67
GENE213,0.061,9.756e-01,457
GENE214,-0.0674,8.750e-01,297
GENE215,-0.1966,8.791e-01,527
GENE216,-0.4231,2.251e-01,14
GENE217,0.0824,9.440e-01,271
GENE218,0.1772,1.204e-01,773
GENE219,-0.3639,1.009e-01,28
GENE220,-0.3142,9.942e-01,23
GENE221,-0.1309,7.762e-01,659
GENE222,0.0724,5.464e-01,225
GENE223,-0.2768,4.706e-01,3806
GENE224,0.3408,6.400e-01,674
GENE225,-0.0214,7.531e-01,6963
GENE226,0.0722,6.774e-01,30
GENE227,0.2658,2.151e-01,17
GENE228,0.4377,6.141e-01,75
GENE229,0.0074,2.699e-01,1321
GENE230,-0.1281,7.030e-01,5912
GENE231,-0.421,7.984e-01,750
GENE232,-0.4934,4.539e-01,430
GENE233,-0.7904,6.653e-01,5312
GENE234,0.0713,2.076e-01,84
GENE235,-0.1365,7.615e-01,510
GENE236,-0.0495,7.042e-01,1257
GENE237,0.2001,9.455e-01,317
GENE238,-0.1637,8.787e-02,198
GENE239,0.0064,3.562e-01,56
GENE240,0.8588,8.442e-01,532
GENE241,0.5551,9.532e-01,9971
GENE242,-0.1487,8.822e-02,1857
GENE243,-0.28,4.970e-01,901
GENE244,0.2188,6.061e-01,802
GENE245,-0.1274,5.171e-01,19
GENE246,-0.208,6.866e-01,3743
GENE247,0.2941,3.633e-01,1205
GENE248,-0.2293,8.229e-01,447
GENE249,0.9363,4.821e-01,88
GENE250,-0.4711,4.340e-01,350
GENE251,0.9498,9.887e-01,940
GENE252,-0.3983,2.282e-01,122
GENE253,-0.1092,7.686e-01,752
GENE254,0.0169,5.718e-01,6068
GENE255,-0.2693,4.662e-01,1244
GENE256,0.7777,6.284e-01,52
GENE257,0.7435,2.005e-01,449
GENE258,-0.1675,9.926e-01,5480
GENE259,-0.0571,4.884e-01,23
GENE260,0.2319,7.308e-01,336
GENE261,-0.4087,3.098e-01,3193
GENE262,0.2967,5.737e-01,142
GENE263,-0.037,9.258e-01,335
GENE264,0.5802,3.124e-01,2344
GENE265,-0.5495,4.442e-01,6350
GENE266,-0.7406,3.187e-01,79
GENE267,-0.036,6.076e-01,9924
GENE268,-0.2264,5.617e-01,108
GENE269,0.0148,5.743e-01,427
GENE270,-0.3387,2.292e-01,1237
GENE271,0.0976,5.932e-01,50
GENE272,0.0191,7.575e-01,1305
GENE273,-0.118,8.208e-01,144
GENE274,-0.3828,9.818e-01,306
GENE275,-0.6353,8.517e-02,321
GENE276,-0.6813,8.805e-01,209
GENE277,-0.4335,5.497e-01,235
GENE278,-0.0708,6.720e-01,29
GENE279,-0.4047,4.960e-01,8084
GENE280,-0.3245,6.673e-01,3592
GENE281,0.5218,8.597e-01,3785
GENE282,-0.2545,7.328e-01,1898
GENE283,0.2389,8.788e-01,13
GENE284,0.5135,9.249e-01,9824
GENE285,0.2355,7.594e-01,200
GENE286,0.4619,8.790e-01,214
GENE287,0.3287,7.093e-01,5132
GENE288,0.6838,3.287e-01,133
GENE289,0.2033,1.883e-01,392
GENE290,-0.6494,2.115e-01,17
GENE291,-0.2855,8.773e-01,723
GENE292,0.0509,1.860e-01,242
GENE293,0.8821,2.913e-01,58
GENE294,0.7216,9.061e-01,1079
GENE295,0.0427,2.001e-01,211
GENE296,-0.3008,6.570e-01,187
GENE297,0.4392,2.876e-01,3435
GENE298,0.1237,5.090e-01,51
GENE299,0.3743,5.933e-01,530
